speaker	word_count	a	able	actually	after	against	ah	aha	all	among	an	and	another	anybody	at	aye	be	became	been	began	bet	between	bloke	both	bringing	brought	but	charles	claimed	cor	corp	cos	da	day	decided	did	do	doo	during	each	economic	eh	eighty	england	er	erm	etcetera	everybody	fall	fig	for	forty	found	from	full	get	government	ha	had	has	have	having	held	hello	himself	hm	however	hundred	i	ibm	if	important	in	inc	including	international	into	it	just	know	large	later	latter	let_s	life	ltd	made	may	methods	mhm	minus	mm	most	mr	mum	new	nineteen	ninety	nodded	nought	oh	okay	on	ooh	out	pence	percent	political	presence	provides	put	really	reckon	say	seemed	seriously	sixty	smiled	so	social	somebody	system	take	talking	than	the	they	thing	think	thirteen	though	thus	time	tt	tv	twenty	uk	under	urgh	us	usa	wants	was	we	who	with	world	yeah	yes	you	your
S0001	2890	69	0	5	2	0	6	1	6	0	4	73	0	0	12	0	11	0	2	0	0	0	0	0	0	0	26	0	0	0	0	18	0	6	0	19	20	0	0	0	0	0	0	0	9	19	0	0	0	0	16	0	0	4	2	9	0	0	11	3	21	1	0	0	0	0	0	1	75	0	3	0	34	0	0	0	2	107	41	18	0	1	0	0	0	0	2	0	0	0	0	25	2	0	3	3	0	0	0	0	35	5	14	0	8	0	0	0	0	0	4	9	1	0	1	1	0	0	39	0	0	0	3	0	1	73	22	6	18	0	0	0	4	0	0	0	0	1	0	3	0	0	27	35	3	12	1	55	1	70	17
S0002	8481	195	3	21	6	1	0	0	35	0	10	265	2	0	41	0	44	0	29	0	0	5	0	1	2	1	104	0	0	0	0	26	0	8	0	33	126	0	1	3	0	0	2	0	30	0	0	0	0	0	54	0	2	15	5	35	0	0	24	12	60	2	0	1	0	0	0	14	474	0	36	1	95	0	1	0	10	255	109	54	0	1	0	0	2	0	3	3	0	1	0	15	9	0	7	15	0	2	0	0	29	12	34	0	19	0	2	0	0	0	4	49	0	14	0	0	1	0	94	1	2	0	4	1	4	219	88	22	23	0	6	0	21	0	0	1	2	0	1	12	0	0	123	74	5	22	1	130	8	155	12
S0003	1876	28	0	8	0	0	4	0	11	0	10	31	0	0	10	0	6	0	1	0	0	0	0	0	0	1	13	0	0	0	0	8	0	0	0	4	40	0	0	0	0	6	0	0	0	0	0	0	0	0	7	1	0	0	0	20	0	0	2	0	13	0	0	0	0	1	0	1	89	0	11	0	14	0	0	0	1	98	8	12	0	0	0	1	2	0	0	0	0	0	0	11	3	0	0	3	0	0	0	0	10	1	37	1	6	0	2	0	0	0	0	7	0	2	0	0	0	0	8	1	0	0	2	1	1	50	22	4	6	1	7	0	4	0	0	0	0	0	1	0	0	1	13	3	1	7	2	61	1	72	7
S0004	3626	111	1	1	1	0	1	0	9	0	7	98	2	0	8	0	18	0	8	0	1	0	0	1	0	0	25	0	1	0	0	14	0	1	0	15	43	0	0	3	0	6	1	0	8	3	0	0	3	0	20	1	1	5	2	4	0	0	17	3	31	3	0	1	0	0	0	2	124	0	12	0	39	0	0	0	2	116	35	14	0	2	0	0	0	0	2	0	0	0	0	14	1	0	1	2	0	0	0	0	14	2	41	1	6	0	2	0	0	0	1	5	0	5	0	0	0	0	34	0	1	1	3	1	1	96	25	4	8	0	4	0	5	0	0	1	0	0	0	1	0	1	59	13	10	9	2	45	2	94	17
S0005	1438	33	1	3	0	0	1	0	3	0	2	46	1	0	3	0	3	0	1	0	0	0	0	0	0	2	12	0	0	0	0	3	0	0	0	8	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	7	0	0	14	2	18	0	0	1	0	1	0	1	40	0	2	0	26	0	0	0	2	33	3	16	0	1	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	14	1	8	0	4	0	1	0	0	0	6	1	0	1	0	0	0	0	12	0	1	0	0	0	2	50	62	5	8	0	2	0	0	0	0	0	0	1	0	1	0	0	9	12	3	6	0	18	20	38	0
S0006	4769	113	4	1	1	0	0	0	8	0	7	167	2	0	14	0	25	0	7	0	0	2	0	0	0	0	27	0	0	0	0	10	0	2	0	14	16	0	1	1	0	1	0	1	0	0	0	0	2	0	17	2	2	6	3	11	0	0	24	5	18	1	0	2	0	0	0	4	115	0	25	0	101	0	0	0	5	125	4	17	4	1	1	1	0	0	10	0	0	0	0	0	0	0	1	2	13	0	0	0	32	0	40	0	17	0	0	0	0	0	3	2	0	4	0	0	1	0	30	0	0	0	4	0	4	204	50	2	22	0	1	0	3	0	0	4	0	1	0	4	0	0	81	48	22	18	1	35	76	71	13
S0007	11132	273	1	6	7	1	4	0	31	0	29	454	12	0	54	0	63	0	28	0	0	0	0	6	0	1	127	0	0	0	0	59	0	12	1	48	90	0	0	2	1	0	1	0	309	0	0	0	1	0	89	0	1	22	0	49	0	0	35	6	69	5	0	1	0	0	2	3	673	0	42	1	118	0	0	0	12	252	116	34	1	1	1	0	2	0	6	3	0	1	0	28	6	0	7	1	0	0	0	0	37	14	67	0	28	0	0	0	0	0	9	47	0	27	0	0	1	0	155	1	0	1	3	3	6	326	75	21	71	1	0	0	18	0	1	2	0	1	0	5	0	2	209	86	23	37	0	175	6	167	21
S0008	138836	2885	25	101	55	16	38	0	1003	1	212	4974	90	6	394	1	466	4	224	1	25	19	52	11	3	17	1517	0	1	12	0	634	0	111	8	388	1157	0	10	31	3	20	10	2	965	239	1	2	11	0	620	26	33	179	50	654	30	7	510	137	840	49	4	6	8	19	2	188	3552	0	516	4	1639	0	2	2	125	4121	711	2915	4	14	0	5	37	0	46	6	0	0	1	1079	49	0	24	106	13	8	0	1	696	28	906	5	525	6	45	1	0	0	210	397	38	214	8	2	43	0	715	6	3	17	116	64	122	4164	2978	384	462	1	46	1	192	0	19	59	0	33	2	42	0	13	1312	404	274	521	32	2117	41	5902	340
S0009	532	10	0	0	0	0	2	0	1	0	1	17	1	0	1	0	2	0	5	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	5	13	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	7	1	0	0	0	0	0	0	27	0	0	0	3	0	0	0	0	9	6	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	12	6	0	5	0	1	0	0	0	0	0	0	0	1	0	0	0	6	11	0	3	0	9	0	12	3
S0010	3093	89	1	7	1	0	0	0	9	0	5	101	1	0	14	0	20	0	15	0	0	2	0	1	0	0	64	0	0	0	0	19	0	1	0	7	14	0	0	0	0	57	0	0	0	1	0	0	0	0	24	0	0	7	0	12	0	0	5	1	16	0	0	0	0	0	0	7	88	0	13	0	34	0	0	2	3	141	27	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	1	0	0	0	2	2	17	4	2	0	0	0	0	0	3	11	1	4	1	0	0	0	91	0	1	0	1	0	7	78	15	3	8	0	1	0	12	0	0	1	3	0	0	6	0	0	33	89	1	12	1	94	5	10	0
