speaker	word_count	a	able	actually	after	against	ah	aha	all	among	an	and	another	anybody	at	aye	be	became	been	began	bet	between	bloke	both	bringing	brought	but	charles	claimed	cor	corp	cos	da	day	decided	did	do	doo	during	each	economic	eh	eighty	england	er	erm	etcetera	everybody	fall	fig	for	forty	found	from	full	get	government	ha	had	has	have	having	held	hello	himself	hm	however	hundred	i	ibm	if	important	in	inc	including	international	into	it	just	know	large	later	latter	let_s	life	ltd	made	may	methods	mhm	minus	mm	most	mr	mum	new	nineteen	ninety	nodded	nought	oh	okay	on	ooh	out	pence	percent	political	presence	provides	put	really	reckon	say	seemed	seriously	sixty	smiled	so	social	somebody	system	take	talking	than	the	they	thing	think	thirteen	though	thus	time	tt	tv	twenty	uk	under	urgh	us	usa	wants	was	we	who	with	world	yeah	yes	you	your
S0011	471	5	0	0	1	0	2	0	0	0	0	13	0	0	3	0	0	0	2	0	0	0	0	0	0	0	9	0	0	0	0	1	0	1	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	29	0	1	0	4	0	0	0	0	15	3	4	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	4	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	11	4	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	14	3	1	1	0	5	1	14	0
S0012	275306	4751	50	68	106	32	107	0	1762	0	331	7717	161	23	860	2	923	12	352	2	58	31	165	33	5	34	1923	0	1	68	0	689	1	238	23	2380	3351	1	14	71	0	34	17	14	1609	167	0	65	39	0	1089	48	53	383	42	1223	29	14	1268	298	2382	55	6	20	11	12	1	147	6015	3	764	9	3071	0	0	1	202	7695	1144	1487	4	25	0	20	47	0	147	16	0	8	2	830	90	16	137	131	32	18	0	1	3045	105	1779	31	934	34	45	1	0	0	523	549	45	270	10	1	42	1	1146	5	50	16	251	88	158	8208	6404	265	659	11	256	0	402	0	4	83	3	60	3	250	0	11	3050	3845	252	903	58	15665	469	8068	651
S0013	126284	1945	12	162	50	4	144	0	622	0	108	2198	69	1	341	0	428	1	223	0	12	7	5	22	6	12	945	0	2	6	0	375	0	113	18	1122	1790	0	3	18	0	12	8	2	438	327	0	4	11	0	558	11	15	172	23	437	3	12	462	124	1109	26	3	10	6	21	2	42	2995	0	367	7	1032	0	4	2	56	4497	714	780	3	9	0	11	15	0	52	8	0	9	1	5593	54	4	21	49	2	5	0	6	2284	269	539	25	326	9	15	0	0	0	230	650	21	124	4	1	5	2	776	5	2	4	132	39	73	2969	2258	132	578	9	155	0	272	0	0	19	0	18	2	145	0	13	1407	2346	71	332	5	6636	287	3551	233
S0014	5480	104	1	15	1	0	12	0	25	0	5	133	4	0	21	0	29	0	11	0	0	3	0	8	0	0	65	0	0	0	0	41	0	1	0	21	74	0	0	0	0	0	0	2	11	36	0	0	0	0	34	0	0	9	0	19	0	6	10	3	38	4	0	2	1	0	0	1	244	0	27	0	46	0	0	0	6	147	69	47	0	3	0	2	2	0	2	0	0	0	0	68	1	0	4	0	1	0	0	0	70	24	27	0	6	0	1	0	0	0	4	45	1	4	0	0	0	0	68	0	0	0	7	1	3	103	61	7	44	0	10	0	13	0	0	0	0	0	0	4	0	3	53	63	10	27	0	176	1	91	11
S0015	29378	504	25	21	38	2	6	0	112	0	43	873	10	1	120	0	183	1	40	1	5	2	1	5	1	0	348	0	0	0	0	82	0	28	5	123	381	0	5	2	0	3	0	0	79	363	0	4	0	0	200	1	13	42	12	162	2	2	100	39	217	12	0	10	0	13	2	12	1001	0	181	2	327	0	0	0	13	836	117	419	5	10	0	13	15	0	5	4	0	0	0	238	13	0	3	23	1	2	0	0	165	30	154	0	107	0	4	0	0	0	40	78	1	97	1	1	2	0	258	2	0	1	30	10	24	675	306	41	138	1	19	0	51	0	2	1	0	4	0	10	0	8	200	118	24	121	4	304	18	1206	107
S0016	602	11	0	1	0	0	4	0	0	0	0	7	0	0	3	0	3	0	0	0	0	2	0	0	0	0	4	0	0	0	0	2	0	0	0	4	3	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	2	3	0	0	0	0	1	0	0	14	0	0	0	10	0	0	0	0	14	7	3	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3	0	0	0	0	0	14	0	3	1	1	0	0	0	0	0	1	3	0	0	2	0	0	0	1	0	0	0	2	0	0	20	4	1	1	0	1	0	1	0	0	1	0	0	0	0	0	0	10	2	1	1	1	19	0	6	0
S0017	7357	160	6	4	4	1	1	0	19	0	19	193	6	5	46	0	41	0	20	0	0	1	0	3	0	0	54	0	0	0	0	3	0	4	0	15	57	0	2	9	1	3	1	0	15	37	0	4	0	0	59	8	0	24	3	19	2	0	16	15	53	7	0	0	0	1	0	5	219	0	40	0	86	0	0	1	6	200	18	23	2	1	0	0	1	0	5	3	0	1	0	160	5	0	0	3	0	0	0	0	23	1	70	0	18	0	16	1	0	0	3	6	0	19	0	0	1	0	63	0	7	5	8	8	21	279	84	3	29	0	1	0	21	0	0	9	0	5	0	7	0	0	71	51	15	25	0	108	44	180	48
S0018	107253	2219	75	183	73	23	259	39	436	0	164	2547	58	1	414	0	519	5	190	0	10	23	4	15	3	6	867	1	0	0	0	377	1	77	6	461	1191	0	13	44	1	91	5	23	441	98	0	27	3	0	639	22	31	224	20	361	8	29	303	111	747	81	0	11	9	390	5	50	3308	0	453	25	1233	0	2	6	130	3026	815	634	6	9	0	32	47	0	54	9	5	403	1	1653	47	1	43	32	23	3	0	41	1114	343	578	36	288	5	11	3	0	1	137	447	10	127	2	0	6	0	955	15	6	19	81	50	71	3211	1206	113	482	0	92	0	167	1	21	36	2	15	12	34	0	11	1246	342	196	379	14	1853	129	2947	386
S0019	23259	397	14	19	20	1	4	0	100	0	47	646	11	4	126	0	131	0	53	0	0	6	1	8	1	2	293	0	0	0	0	89	0	10	7	79	270	0	6	5	1	17	3	1	78	0	0	6	1	0	132	0	5	48	1	76	1	0	74	41	177	17	0	2	8	18	0	7	688	0	87	4	245	0	0	0	16	739	109	139	2	5	0	0	4	0	9	7	0	37	0	302	16	0	0	0	4	0	0	0	134	8	152	1	59	0	0	0	0	2	18	43	2	41	2	0	4	0	204	2	14	12	20	7	37	791	248	27	133	1	7	0	72	0	0	5	0	5	8	13	0	3	328	176	44	92	1	148	123	480	49
S0020	885	23	3	1	2	0	1	0	1	0	1	18	0	0	1	0	2	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	1	1	3	12	0	0	0	0	0	0	0	3	9	0	0	0	0	7	0	0	1	0	1	0	0	2	0	5	2	0	0	0	0	0	0	26	0	2	0	5	0	0	0	0	22	3	8	0	0	0	0	0	0	0	2	0	0	0	0	1	2	0	0	0	0	0	0	5	13	16	0	1	0	0	0	0	0	1	3	0	1	0	0	0	0	10	0	0	0	0	1	0	27	9	0	4	0	1	0	2	0	1	1	0	0	0	0	0	0	9	7	1	1	0	15	9	30	7
S0021	7957	122	3	20	4	0	39	0	15	0	9	95	4	1	21	0	37	0	10	0	1	0	0	3	0	0	64	0	0	0	0	30	0	5	1	14	60	0	0	1	0	4	0	1	45	43	0	1	1	0	62	0	0	29	0	28	0	10	14	8	56	5	0	2	0	0	0	2	395	0	33	1	76	0	0	0	3	230	46	45	0	7	0	2	0	0	10	3	0	0	0	140	8	0	3	3	0	0	0	0	148	14	55	0	15	0	1	0	0	0	8	31	1	9	0	0	0	0	34	0	2	0	8	3	7	167	81	14	47	0	12	0	14	0	0	0	0	0	0	4	0	0	88	41	7	19	0	191	11	212	32
S0022	7132	151	5	4	6	0	14	0	14	0	14	171	7	0	23	0	63	4	10	0	0	3	0	3	0	1	114	0	0	0	0	15	0	10	0	18	76	0	0	3	0	9	0	0	10	44	0	0	0	0	40	1	2	13	0	17	1	3	20	5	72	7	0	0	0	1	0	2	358	0	71	2	52	0	0	0	3	215	30	52	0	0	0	2	5	0	2	0	0	0	0	45	6	2	1	3	0	0	0	0	46	38	28	6	5	0	1	0	0	0	3	60	0	32	0	0	0	0	56	1	0	0	7	1	10	144	44	13	111	0	6	0	15	0	0	1	0	1	0	3	0	1	74	39	16	30	5	103	19	260	24
S0023	6694	158	2	12	2	0	5	1	25	0	16	166	4	1	23	0	76	0	9	0	1	2	3	5	0	0	77	0	0	0	0	9	0	12	2	17	74	0	0	3	0	21	0	0	31	16	1	1	0	0	41	1	0	8	0	23	0	0	11	9	60	5	0	0	0	0	0	0	184	0	34	2	68	0	0	0	2	224	37	59	1	1	0	7	5	0	6	1	0	0	0	56	4	0	0	3	0	0	0	0	48	12	36	2	15	0	0	0	0	0	6	18	0	29	0	0	0	0	67	1	0	1	9	0	6	222	56	13	41	0	8	0	20	0	1	0	0	0	0	5	0	1	47	40	5	28	2	132	14	238	29
S0024	179821	3145	58	127	100	9	271	0	1026	0	220	3720	97	26	691	0	818	2	291	0	18	27	6	31	7	8	1723	2	0	7	0	625	2	194	15	911	2850	1	17	46	1	33	1	29	586	552	0	137	15	0	913	12	33	295	11	736	8	36	417	154	1493	79	2	66	5	18	1	19	7180	0	783	14	1574	0	5	7	101	5394	1480	1385	2	20	0	93	21	0	66	10	1	16	2	1409	58	8	126	117	3	0	1	0	1902	360	1062	46	454	0	12	0	0	1	267	764	27	312	10	7	7	0	1210	6	83	6	174	96	113	4803	2723	210	739	8	134	1	354	2	29	55	8	22	15	173	0	31	1537	2161	187	649	19	4015	124	4593	529
S0025	5599	103	0	8	1	2	8	0	34	0	1	212	4	0	18	0	20	0	7	0	1	0	1	1	0	0	47	0	0	0	0	8	0	2	0	41	69	0	0	1	0	0	0	0	22	30	0	2	1	0	28	0	0	4	1	14	0	0	39	2	38	1	0	0	0	0	0	0	119	0	13	0	42	0	0	0	7	194	82	48	0	1	0	2	0	0	6	0	0	0	0	23	0	0	4	2	0	0	0	0	97	5	28	0	17	1	1	0	0	0	10	34	0	6	0	0	0	0	70	0	3	0	5	1	0	129	54	5	18	0	4	0	9	0	0	1	0	1	2	7	0	0	142	124	4	25	3	142	2	181	15
S0026	13347	227	2	39	4	2	6	0	43	0	33	191	3	0	42	2	62	0	13	0	5	1	0	2	0	0	122	0	0	0	0	66	0	4	3	61	186	0	0	1	0	0	1	0	106	0	0	0	1	0	66	1	0	18	6	37	0	0	18	7	82	8	0	3	2	4	0	2	566	0	42	1	117	0	1	0	6	504	147	52	0	1	0	11	0	0	5	5	0	0	0	105	11	0	1	0	0	2	0	0	114	29	83	4	23	0	2	0	0	0	18	93	5	19	0	1	0	0	110	1	0	0	7	5	19	278	107	34	67	0	23	0	15	0	8	0	0	0	0	4	0	0	111	75	35	55	3	257	8	338	31
S0027	1845	64	0	2	0	0	2	0	4	0	4	33	0	0	5	0	12	0	0	0	0	0	0	1	1	0	21	0	0	0	0	14	0	0	0	4	31	0	0	0	0	12	0	0	0	0	0	0	1	0	7	0	1	5	0	8	0	0	9	0	19	7	0	0	0	0	0	0	102	0	5	0	15	0	0	0	0	93	10	23	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	11	0	4	0	0	0	0	0	3	5	0	5	1	0	0	0	13	0	0	0	1	0	1	33	10	5	13	0	0	0	1	0	0	0	0	1	0	0	0	0	12	3	1	14	0	24	0	70	8
S0028	414	9	0	1	0	0	0	0	1	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	0	1	0	2	0	0	0	0	0	0	0	27	0	1	0	2	0	0	0	0	7	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	1	1	1	2	0	0	0	0	0	0	1	0	3	0	0	0	0	3	0	0	0	1	0	1	9	3	0	2	0	2	0	1	0	0	0	0	0	0	1	0	0	3	0	4	2	0	1	0	10	0
S0029	302	7	0	0	0	0	0	0	3	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	5	0	0	0	0	0	0	0	15	0	0	0	6	0	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	0	1	0	0	0	0	0	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	2	2	0	4	0	5	1
S0030	2602	86	0	20	1	0	0	0	0	0	7	68	1	0	7	0	15	0	3	0	0	2	0	0	0	0	16	0	0	0	0	3	0	0	0	4	22	0	0	2	0	0	0	0	28	0	0	1	0	0	14	0	0	1	0	4	0	0	2	1	25	4	0	1	0	0	0	0	89	0	13	2	23	0	0	3	2	53	5	18	0	0	0	1	0	0	0	7	0	3	0	183	1	0	0	1	0	0	0	0	0	8	22	0	2	0	0	0	0	0	10	22	0	6	1	0	0	0	37	0	1	0	2	3	5	39	19	4	24	0	4	0	10	0	0	4	2	0	0	2	0	0	7	17	5	13	0	25	2	74	36
S0031	921	20	0	0	2	0	0	0	3	0	3	18	0	0	3	0	5	0	2	0	0	0	0	0	0	0	1	0	0	0	0	6	0	0	0	1	4	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	2	1	0	0	0	2	3	3	0	0	0	0	0	0	0	11	0	0	0	19	0	0	0	0	24	11	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	9	1	6	0	2	0	0	0	0	0	2	1	0	1	0	0	0	0	3	0	0	0	1	1	1	40	14	0	2	0	2	0	1	0	0	0	0	0	0	0	0	0	8	10	1	2	3	28	0	10	1
S0032	6440	131	2	6	1	0	15	0	25	0	15	131	2	0	16	0	32	0	18	0	3	1	0	2	0	2	62	0	0	0	0	11	0	4	0	17	53	0	0	0	0	0	0	0	35	7	0	0	0	0	35	2	0	8	1	30	0	0	24	4	51	8	0	0	0	0	0	2	249	0	17	0	66	0	0	0	8	262	79	19	1	2	0	2	0	0	6	0	0	0	0	13	7	0	1	1	1	0	1	0	74	7	33	0	19	0	0	0	0	0	5	34	1	2	1	0	0	1	52	0	0	0	3	1	14	163	46	24	32	1	7	0	16	0	0	1	0	0	0	2	0	0	73	32	5	17	2	110	8	115	8
S0033	6478	165	1	1	8	0	9	0	35	0	11	228	1	6	43	0	30	0	18	0	0	1	0	3	0	0	79	0	0	0	0	22	0	17	3	16	72	0	0	2	0	1	1	3	1	15	0	1	3	0	42	1	0	26	1	24	0	0	17	4	26	2	0	0	1	0	0	3	377	0	12	0	92	0	0	1	5	188	87	28	0	1	0	1	7	0	3	0	0	2	0	5	2	0	6	4	1	0	0	0	8	3	26	0	27	0	0	1	0	0	2	13	0	0	1	1	0	0	57	1	1	0	2	1	2	187	66	12	22	2	3	0	13	0	0	5	0	2	0	1	0	2	104	32	15	37	5	50	0	79	3
S0034	4956	87	1	14	0	1	9	0	13	0	5	99	5	0	12	0	21	0	8	0	1	0	1	1	0	0	37	0	0	0	0	20	0	1	1	25	58	0	0	1	0	0	0	0	21	0	0	0	1	0	19	0	0	6	2	21	0	0	11	6	37	2	0	0	0	3	0	0	149	0	17	1	35	0	0	0	4	148	39	36	0	0	0	9	0	0	4	2	0	0	0	18	0	0	0	1	0	0	0	0	20	4	29	0	10	0	0	0	0	0	1	27	1	6	2	0	0	0	57	0	0	0	1	1	5	167	57	14	19	1	2	0	7	0	0	1	0	0	0	3	0	0	61	68	6	10	0	88	3	142	11
S0035	2092	26	0	9	0	0	0	0	10	0	2	33	1	0	6	0	3	1	7	0	0	0	0	0	1	0	19	0	0	0	0	16	0	2	0	5	42	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	2	12	0	0	2	4	14	0	0	0	0	1	0	1	89	0	9	1	13	0	0	1	1	55	8	16	0	0	0	0	1	0	0	0	0	0	0	20	0	0	0	0	0	1	0	0	38	3	15	0	7	0	0	0	0	0	4	9	0	4	0	0	0	0	34	0	3	0	5	3	1	35	41	4	12	0	3	0	4	0	0	2	0	0	0	1	0	1	13	35	0	4	0	117	3	47	11
S0036	11121	168	0	16	4	1	0	0	62	0	20	478	6	1	29	0	65	0	22	0	1	3	1	0	0	0	119	0	0	0	0	46	0	17	0	30	165	0	0	0	0	0	0	0	64	149	0	5	0	0	83	1	3	13	1	49	0	0	37	8	78	6	0	0	1	0	0	6	451	0	45	3	92	0	0	0	9	363	124	152	0	0	0	0	1	0	1	0	0	0	0	29	2	0	11	3	0	0	0	0	32	15	74	0	35	0	4	0	0	0	11	54	2	40	0	3	2	0	136	0	17	0	5	5	6	273	321	20	42	0	7	0	28	0	2	4	0	0	0	18	0	2	90	90	12	42	0	130	0	276	14
S0037	107756	2174	19	112	56	7	209	18	364	0	130	2120	23	3	310	10	539	1	183	0	30	10	2	26	1	11	1267	0	0	1	0	274	1	96	6	386	1205	2	2	14	0	11	5	1	70	30	0	3	2	0	435	1	13	180	5	351	4	5	324	82	728	40	2	8	8	5	7	37	5245	0	533	2	1092	0	0	1	60	3360	1070	1047	3	6	0	27	20	0	64	11	0	20	0	91	34	6	18	62	3	2	0	0	722	84	753	46	189	2	13	2	0	0	196	619	0	102	2	0	1	0	808	1	15	1	45	24	74	2736	1064	278	836	3	250	0	151	0	28	22	8	15	2	96	0	22	1473	506	167	337	17	2226	53	2630	282
S0038	6121	164	0	12	1	0	4	0	17	0	10	140	3	0	10	0	36	0	4	0	1	3	0	3	0	0	70	0	0	4	0	12	0	6	0	27	55	0	0	1	0	1	0	0	51	0	0	0	0	0	23	1	0	7	2	23	0	0	11	9	40	2	0	1	1	17	0	3	210	0	17	0	79	0	0	0	8	236	32	84	0	2	0	1	3	0	2	0	0	3	0	118	3	0	0	1	0	0	0	0	70	7	34	0	19	0	0	0	0	0	5	30	0	4	1	0	0	0	39	0	3	0	5	3	4	127	46	3	31	0	7	0	5	0	0	3	0	2	0	1	0	1	55	15	20	18	0	137	4	169	12
S0039	228	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	8	0	0	0	4	0	0	0	0	13	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	8	0	7	2
S0040	4019	96	1	3	0	1	4	0	15	0	9	76	2	0	17	0	13	0	7	0	0	0	0	2	0	0	41	0	0	0	0	13	0	4	0	34	16	0	0	0	0	0	0	0	17	17	0	0	0	0	18	0	0	5	1	14	0	0	20	6	21	1	0	1	0	0	0	5	116	0	13	0	54	0	0	0	4	163	55	16	0	0	0	0	0	0	5	0	0	0	0	23	4	0	2	1	1	0	0	0	18	5	30	0	9	0	0	0	0	0	10	20	0	2	1	0	0	0	34	0	0	1	2	1	4	140	30	9	25	0	3	0	1	0	1	1	0	1	0	1	0	0	77	60	2	19	2	94	13	56	15
S0041	207095	3622	73	314	144	17	190	1	950	0	315	4880	64	44	864	0	1125	4	353	0	15	42	4	67	3	20	1458	0	0	0	0	1044	0	207	17	872	2547	17	15	53	0	57	25	6	564	147	0	27	15	0	1266	36	59	403	64	747	6	30	490	181	1298	75	4	25	13	57	13	145	10600	0	1087	16	2113	0	5	5	149	5913	1650	1664	11	36	0	78	134	0	92	35	0	33	0	916	39	1	76	72	18	4	0	3	1204	204	1368	36	648	0	25	2	0	1	303	1137	17	384	13	21	22	0	1883	4	52	3	227	90	151	5595	1525	342	1224	15	191	1	478	0	14	91	2	37	10	139	0	32	2424	1197	123	841	54	3922	401	4511	466
S0042	369	5	0	0	0	0	1	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	6	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	3	0	0	0	0	0	0	0	20	0	1	0	1	0	0	0	0	4	7	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	3	0	0	0	0	0	0	1	0	3	0	0	0	0	3	0	0	0	0	0	1	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	1	0	5	0	8	5
