"";"ID";"Exact.age";"Age..BNC1994.groups.";"Age.range";"Gender";"Nationality";"Place.of.birth";"Country.of.birth";"First.language";"Linguistic.origin";"Accent.dialect.as.reported";"City.town.living";"Country.living";"Duration.living..years.";"Dialect.at.Level.1";"Dialect.at.Level.2";"Dialect.at.Level.3";"Dialect.at.Level.4";"Highest.qualification";"Occupation..title";"Class..Social.grade";"Class..NS.SEC";"L2..if.bilingual.";"Foreign.languages.spoken";"Part.of.core.set.of.speakers";"No..Utterance.units.linked.to.this.Speaker.ID";"total";"age_numeric";"include";"age_bins"
"1";"S0001";32;"25-34";"30-39";"Female";"British";"Wordsley, West Midlands";"England";"English";"England";"None indicated";"Aberystwyth";"Wales";"14";"unspecified";"unspecified";"unspecified";"unspecified";"Postgrad";"University researcher";"A";"01:02";"";"";"Not in core set";399;3000;32;TRUE;"30-39"
"2";"S0002";NA;"Unknown";"19-29";"Female";"British";"Birmingham";"England";"English";"England";"Midlands";"Birmingham";"England";"8 months";"uk";"england";"midlands";"unspecified";"Postgrad";"Teacher";"B";"2";"";"Japanese -- Intermediate";"Not in core set";538;8535;25;TRUE;"20-29"
"3";"S0003";NA;"Unknown";"19-29";"Female";"British";"Royal Leamington Spa, Warwickshire";"England";"English";"England";"Northern";"Manchester";"England";"15 years";"uk";"england";"north";"unspecified";"Graduate";"Student";"E";"* (uncategorised)";"";"";"Not in core set";167;1893;25;TRUE;"20-29"
"4";"S0004";NA;"Unknown";"30-39";"Male";"British";"";"Germany";"English";"England";"Northern";"Birmingham";"England";"6 years";"uk";"england";"north";"unspecified";"Postgrad";"Engineer";"C2";"5";"";"Spanish -- Beginner";"Not in core set";336;3634;34;TRUE;"30-39"
"5";"S0005";NA;"60+";"80-89";"Female";"British";"Birmingham";"England";"English";"England";"Midlands";"Birmingham";"England";"82 years";"uk";"england";"midlands";"unspecified";"Secondary";"Insurance Broker (retired)";"E";"8";"";"French -- Beginner";"Not in core set";148;1449;84;TRUE;"70+"
"6";"S0006";NA;"60+";"80-89";"Male";"British";"Manchester";"England";"English";"England";"Midlands";"Birmingham";"England";"82 years";"uk";"england";"midlands";"unspecified";"Sixth-form";"Company director (retired)";"E";"8";"";"Hebrew -- Intermediate";"Not in core set";502;4804;84;TRUE;"70+"
"7";"S0007";NA;"Unknown";"19-29";"Male";"British";"Birmingham";"England";"English";"England";"Midlands";"Birmingham";"England";"24 years";"uk";"england";"midlands";"unspecified";"Graduate";"Bartender";"D";"7";"";"German -- Beginner";"Not in core set";634;11276;25;TRUE;"20-29"
"8";"S0008";66;"60+";"60-69";"Male";"British";"Norwich, Norfolk";"England";"English";"England";"Norfolk";"Dereham, Norfolk";"England";"66";"uk";"england";"south";"eastern_engl";"Graduate";"Civil engineer (retired)";"E";"8";"";"German -- level unspecified";"In core set";13,398;139888;66;TRUE;"60-69"
"9";"S0009";NA;"Unknown";"19-29";"Female";"British";"";"South Africa";"English";"England";"North East";"Salford, Greater Manchester";"England";"1 month";"uk";"england";"north";"northeast";"Graduate";"Student";"E";"* (uncategorised)";"";"";"Not in core set";60;533;25;TRUE;"20-29"
"10";"S0010";NA;"Unknown";"30-39";"Male";"British";"Whitehave, Cumbria";"England";"English";"England";"Northern";"Manchester";"England";"6 years";"uk";"england";"north";"unspecified";"Sixth-form";"Recruitment and Admission Officer";"B";"2";"";"";"Not in core set";239;3105;34;TRUE;"30-39"
"11";"S0011";NA;"Unknown";"19-29";"Female";"British";"Kettering, Northamptonshire";"England";"English";"England";"Southern";"Salford, Greater Manchester";"England";"18 years";"uk";"england";"south";"unspecified";"Sixth-form";"Student";"E";"* (uncategorised)";"";"Bengali -- Advanced";"Not in core set";46;473;25;TRUE;"20-29"
"12";"S0012";70;"60+";"70-79";"Male";"British";"Costessey, Norfolk";"England";"English";"England";"Norfolk";"Mattishal, Norfolk";"England";"38";"uk";"england";"south";"eastern_engl";"Secondary";"Retired";"E";"8";"";"";"Not in core set";39,311;277953;70;TRUE;"70+"
"13";"S0013";63;"60+";"60-69";"Female";"British";"Harrow, Middlesex";"England";"English";"England";"Southern";"Dereham, Norfolk";"England";"36 years";"uk";"england";"south";"unspecified";"Sixth-form";"Childminder (retired)";"E";"8";"";"";"In core set";26,606;127773;63;TRUE;"60-69"
"14";"S0014";NA;"Unknown";"30-39";"Female";"British";"Hereford, Herefordshire";"England";"English";"England";"Southern";"Birmingham";"England";"5 years";"uk";"england";"south";"unspecified";"Postgrad";"Journalist";"B";"2";"";"";"Not in core set";518;5487;34;TRUE;"30-39"
"15";"S0015";68;"60+";"60-69";"Female";"British";"Scotland";"Scotland";"English";"England";"RP";"Brighton";"England";"67 years";"uk";"england";"unspecified";"unspecified";"Postgrad";"Retired teacher";"E";"8";"";"";"Not in core set";1,654;29651;68;TRUE;"60-69"
"16";"S0016";NA;"Unknown";"19-29";"Female";"British";"Birmingham";"England";"English";"England";"Midlands";"Salford, Greater Manchester";"England";"6 months";"uk";"england";"midlands";"unspecified";"Sixth-form";"Student";"E";"* (uncategorised)";"";"";"Not in core set";112;605;25;TRUE;"20-29"
"17";"S0017";NA;"60+";"70-79";"Male";"British";"Woburn, Buckinghamshire";"England";"English";"England";"Midlands";"Birmingham";"England";"35 years";"uk";"england";"midlands";"unspecified";"Sixth-form";"Accountant";"C1";"3";"";"French -- Beginner; German -- Beginner";"Not in core set";702;7377;74;TRUE;"70+"
"18";"S0018";NA;"Unknown";"30-39";"Female";"British";"Hitchin, Hertfordshire";"England";"English";"England";"Southern";"Birmingham";"England";"18 years, 8 months";"uk";"england";"south";"unspecified";"Postgrad";"Language teacher";"C1";"3";"";"Spanish -- Advanced; French -- Advanced";"Not in core set";12,185;107906;34;TRUE;"30-39"
"19";"S0019";NA;"60+";"60-69";"Female";"British";"Birmingham";"England";"English";"England";"Midlands";"Birmingham";"England";"35 years";"uk";"england";"midlands";"unspecified";"Sixth-form";"Court usher";"D";"6";"";"French -- Beginner";"Not in core set";2,11;23328;64;TRUE;"60-69"
"20";"S0020";NA;"Unknown";"30-39";"Male";"British";"";"England";"English";"England";"Southern";"Baldock, Hertfordshire";"England";"8 years";"uk";"england";"south";"unspecified";"Graduate";"Engineer";"C2";"5";"";"";"Not in core set";114;885;34;TRUE;"30-39"
"21";"S0021";27;"25-34";"19-29";"Female";"British";"Swindon";"England";"English";"England";"West Country";"Hull";"England";"1.5 years";"uk";"england";"south";"southwest";"Postgrad";"Teacher";"B";"2";"";"";"In core set";1,065;8209;27;TRUE;"20-29"
"22";"S0022";NA;"Unknown";"30-39";"Female";"British";"Kettering, Northamptonshire";"England";"English";"England";"Southern";"Hungerford, Berkshire";"England";"4 years";"uk";"england";"south";"unspecified";"Graduate";"PA to director";"C1";"3";"";"Italian -- Advanced; Spanish -- Intermediate";"Not in core set";397;7163;34;TRUE;"30-39"
"23";"S0023";NA;"Unknown";"40-49";"Male";"British";"Taplow, Buckinghamshire";"England";"English";"England";"Southern";"Hungerford, Berkshire";"England";"4 years";"uk";"england";"south";"unspecified";"Sixth-form";"IT consultant";"B";"2";"";"";"Not in core set";399;6704;44;TRUE;"40-49"
"24";"S0024";36;"35-44";"30-39";"Female";"British";"Norwich";"England";"English";"England";"Southern";"Dereham, Norfolk";"England";"28";"uk";"england";"south";"unspecified";"Postgrad";"lecturer";"A";"01:02";"";"";"Not in core set";17,676;181562;36;TRUE;"30-39"
"25";"S0025";NA;"Unknown";"30-39";"Female";"British";"Norwich, Norfolk";"England";"English";"England";"Southern";"Stroud, Gloucestershire";"England";"4 years";"uk";"england";"south";"unspecified";"Graduate";"Training Manager";"B";"2";"";"";"Not in core set";396;5618;34;TRUE;"30-39"
"26";"S0026";23;"15-24";"19-29";"Male";"British";"Leeds, Yorkshire";"England";"English";"England";"Yorkshire";"Cambridge";"England";"4 years, 6 months";"uk";"england";"north";"yorkshire";"Graduate";"Engineer";"C2";"5";"";"German -- Intermediate";"In core set";1,718;13449;23;TRUE;"20-29"
"27";"S0027";NA;"Unknown";"40-49";"Male";"British";"Pelaw, Tyne and Wear";"England";"English";"England";"North West";"Manchester";"England";"5 years";"uk";"england";"north";"northwest";"Sixth-form";"IT Trainer";"B";"2";"";"";"Not in core set";142;1856;44;TRUE;"40-49"
"28";"S0028";NA;"Unknown";"19-29";"Female";"British";"Manchester";"England";"English";"England";"North West";"Blackley, Manchester";"England";"19 years";"uk";"england";"north";"northwest";"Postgrad";"Student/ work in hotel";"D";"6";"";"French -- Intermediate; Spanish -- Intermediate";"Not in core set";58;417;25;TRUE;"20-29"
"29";"S0029";NA;"Unknown";"19-29";"Female";"British";"Essex";"England";"English";"England";"Southern";"Salford, Greater Manchester";"England";"6 months";"uk";"england";"south";"unspecified";"Sixth-form";"Student/ Sales Assistant";"D";"6";"";"Spanish -- Intermediate";"Not in core set";57;304;25;TRUE;"20-29"
"30";"S0030";NA;"Unknown";"40-49";"Female";"British";"London";"England";"English";"England";"Southern";"Manchester";"England";"24 years";"uk";"england";"south";"unspecified";"Postgrad";"Careers Consultant";"B";"2";"";"";"Not in core set";257;2622;44;TRUE;"40-49"
"31";"S0031";NA;"Unknown";"19-29";"Male";"British";"York";"England";"English";"England";"Yorkshire";"Salford, Greater Manchester";"England";"6 months";"uk";"england";"north";"yorkshire";"Sixth-form";"Student";"E";"* (uncategorised)";"";"";"Not in core set";121;928;25;TRUE;"20-29"
"32";"S0032";28;"25-34";"19-29";"Male";"British";"Yoevil";"England";"English";"England";"South West";"Lemington-Spa";"England";"9 years";"uk";"england";"south";"southwest";"Graduate";"Software developer";"A";"01:02";"";"";"In core set";894;6867;28;TRUE;"20-29"
"33";"S0033";NA;"Unknown";"19-29";"Male";"British (Dual Australian)";"Brisbane";"Australia";"English";"England";"None indicated";"Birmingham";"England";"12 years";"unspecified";"unspecified";"unspecified";"unspecified";"Sixth-form";"Tennis coach";"B";"2";"";"French -- Intermediate";"Not in core set";313;6499;25;TRUE;"20-29"
"34";"S0034";29;"25-34";"19-29";"Male";"British";"Birmingham";"England";"English";"England";"Southern";"Cambridge";"England";"9 years";"uk";"england";"south";"unspecified";"Graduate";"Engineer";"C2";"5";"";"Kiswahili -- Advanced";"In core set";640;4974;29;TRUE;"20-29"
"35";"S0035";NA;"Unknown";"30-39";"Female";"British";"Liverpool";"England";"English";"England";"Northern";"Liverpool, Merseyside";"England";"4 years, 6 months";"uk";"england";"north";"unspecified";"Postgrad";"Library Services Officer";"B";"2";"";"French -- Beginner; German -- Beginner";"Not in core set";283;2101;34;TRUE;"30-39"
"36";"S0036";NA;"Unknown";"40-49";"Female";"British";"Birmingham";"England";"English";"England";"Midlands";"Birmingham";"England";"49 years";"uk";"england";"midlands";"unspecified";"Postgrad";"Administrator";"C1";"3";"";"French -- Beginner";"Not in core set";432;11169;44;TRUE;"40-49"
"37";"S0037";NA;"Unknown";"19-29";"Female";"British";"Sunderland, Tyne and Wear";"England";"English";"England";"North East";"Cambridge";"England";"2 years";"uk";"england";"north";"northeast";"Postgrad";"Research Manager";"A";"01:02";"";"";"Not in core set";8,75;108664;25;TRUE;"20-29"
"38";"S0038";NA;"45-59";"50-59";"Male";"British";"Walthamstow, Essex";"England";"English";"England";"London";"London";"England";"3 months";"uk";"england";"south";"london";"Sixth-form";"Artist";"B";"2";"";"";"Not in core set";820;6147;54;TRUE;"50-59"
"39";"S0039";NA;"Unknown";"30-39";"Male";"British";"Manchester, England";"English";"England";"Northern";"None indicated";"Prestwich, Lancashire";"England";"30 years";"unspecified";"unspecified";"unspecified";"unspecified";"Postgrad";"Library Assistant";"B";"2";"";"";"Not in core set";21;228;34;TRUE;"30-39"
"40";"S0040";33;"25-34";"30-39";"Male";"British";"Newcastle Upon Tyne";"England";"English";"England";"None indicated";"Aberystwyth";"Wales";"14 years";"unspecified";"unspecified";"unspecified";"unspecified";"Graduate";"Manufacturing technical support lead";"B";"2";"";"";"In core set";431;4154;33;TRUE;"30-39"
"41";"S0041";NA;"Unknown";"19-29";"Female";"British";"Doncaster, Yorkshire";"England";"English";"England";"Yorkshire";"Cambridge";"England";"3 years";"uk";"england";"north";"yorkshire";"Graduate";"Conference and Events Co-ordinator";"B";"2";"";"Spanish -- Advanced; French -- Advanced";"Not in core set";19,233;208025;25;TRUE;"20-29"
"42";"S0042";NA;"Unknown";"19-29";"Female";"British";"Warrington, Cheshire";"England";"English";"England";"North West";"Warrington, Cheshire";"England";"19 years";"uk";"england";"north";"northwest";"Postgrad";"Teaching Assistant";"C1";"3";"";"Spanish -- Advanced; German -- Advanced";"Not in core set";65;372;25;TRUE;"20-29"
"43";"S0043";NA;"Unknown";"40-49";"Female";"British";"Halifax, Yorkshire, England";"English";"England";"Yorkshire";"None indicated";"Salford, Greater Manchester";"England";"12 years, 5 months";"unspecified";"unspecified";"unspecified";"unspecified";"Sixth-form";"Customer Services Assistant";"C1";"3";"";"";"Not in core set";180;2453;44;TRUE;"40-49"
"44";"S0044";NA;"Unknown";"19-29";"Female";"British";"Bishop Aukland, County Durham";"England";"English";"England";"North East";"Salford, Greater Manchester";"England";"1 month";"uk";"england";"north";"northeast";"Graduate";"Student Nurse";"B";"2";"";"";"Not in core set";82;829;25;TRUE;"20-29"
"45";"S0045";NA;"Unknown";"19-29";"Male";"British";"Lancaster, Lancashire";"England";"English";"England";"Northern";"Manchester";"England";"5 years";"uk";"england";"north";"unspecified";"Postgrad";"Student";"E";"* (uncategorised)";"";"French -- Advanced";"Not in core set";38;228;25;TRUE;"20-29"
"46";"S0046";NA;"Unknown";"19-29";"Male";"British";"Cambridge";"England";"English";"England";"Southern";"Cambridge";"England";"26 years";"uk";"england";"south";"unspecified";"Sixth-form";"Labourer";"D";"7";"";"";"Not in core set";2,01;17404;25;TRUE;"20-29"
"47";"S0047";NA;"60+";"60-69";"Male";"British";"Birmingham";"England";"English";"England";"Midlands";"Birmingham";"England";"63 years";"uk";"england";"midlands";"unspecified";"Secondary";"Accounts manager (retired)";"E";"8";"";"Spanish -- Beginner";"Not in core set";685;9570;64;TRUE;"60-69"
"48";"S0048";NA;"Unknown";"40-49";"Female";"British";"Glasgow";"Scotland";"English";"Scotland";"Scottish";"Birmingham";"England";"25 years";"uk";"scotland";"scotland";"scotland";"Graduate";"Shop assistant";"D";"7";"";"";"Not in core set";41;541;44;TRUE;"40-49"
"49";"S0049";NA;"Unknown";"19-29";"Female";"British";"Birmingham";"England";"English";"England";"Midlands";"Birmingham";"England";"27 years";"uk";"england";"midlands";"unspecified";"Sixth-form";"Small business owner";"C1";"4";"";"";"Not in core set";1,06;14159;25;TRUE;"20-29"
"50";"S0050";29;"25-34";"19-29";"Female";"British";"Southport, Merseyside";"England";"English";"England";"Southern";"Cambridge";"England";"9 years";"uk";"england";"south";"unspecified";"Graduate";"Teacher";"B";"2";"";"Spanish -- Advanced";"Not in core set";721;7233;29;TRUE;"20-29"
"51";"S0051";NA;"Unknown";"19-29";"Male";"British";"Hull, Yorkshire";"England";"English";"England";"Yorkshire";"Salford, Greater Manchester";"England";"7 months";"uk";"england";"north";"yorkshire";"Graduate";"Receptionist";"D";"6";"";"French -- level unspecified";"Not in core set";114;624;25;TRUE;"20-29"
"52";"S0052";32;"25-34";"30-39";"Female";"British";"Maldon, Essex";"England";"English";"England";"Essex";"Cambridge";"England";"11 years, 6 months";"uk";"england";"south";"southeast";"Postgrad";"Maths teacher, sixth form college";"B";"2";"";"";"Not in core set";140;2223;32;TRUE;"30-39"
"53";"S0053";NA;"Unknown";"19-29";"Female";"British";"Bradford, Yorkshire";"England";"English";"England";"Northern";"Manchester";"England";"21 years";"uk";"england";"north";"unspecified";"Graduate";"Student";"E";"* (uncategorised)";"";"French -- Intermediate; Spanish -- Intermediate";"Not in core set";17;117;25;TRUE;"20-29"
"54";"S0054";NA;"Unknown";"19-29";"Male";"British";"Durham, County Durham";"England";"English";"England";"Northern";"Cambridge";"England";"4 years, 6 months";"uk";"england";"north";"unspecified";"Graduate";"Publications Assistant";"B";"2";"";"";"Not in core set";344;5753;25;TRUE;"20-29"
"55";"S0055";NA;"Unknown";"19-29";"Female";"British";"Hull, Yorkshire";"England";"English";"England";"Yorkshire";"Manchester";"England";"1 year, 8 months";"uk";"england";"north";"yorkshire";"Postgrad";"Bartender";"D";"7";"";"";"Not in core set";185;1312;25;TRUE;"20-29"
"56";"S0056";59;"45-59";"50-59";"Male";"British";"Sunderland, Tyne and Wear";"England";"English";"England";"North East";"Sunderland";"England";"55 years";"uk";"england";"north";"northeast";"Graduate";"Biomedical scientist (retired)";"E";"8";"";"";"Not in core set";108;1108;59;TRUE;"50-59"
"57";"S0057";21;"15-24";"19-29";"Female";"British";"Sunderland, Tyne and Wear";"England";"English";"England";"North East";"Leeds, Yorkshire";"England";"6 months";"uk";"england";"north";"northeast";"Sixth-form";"Student";"E";"* (uncategorised)";"";"French -- Advanced";"Not in core set";693;4034;21;TRUE;"20-29"
"58";"S0058";23;"15-24";"19-29";"Female";"British";"Sunderland, Tyne and Wear";"England";"English";"England";"North East";"Cambridge";"England";"4 years";"uk";"england";"north";"northeast";"Graduate";"Corpus Administrator";"B";"2";"";"";"Not in core set";13,179;144725;23;TRUE;"20-29"
"59";"S0059";27;"25-34";"19-29";"Female";"British";"Newcastle, Tyne and Wear";"England";"English";"England";"North East";"Cambridge";"England";"6 years, 5 months";"uk";"england";"north";"northeast";"Postgrad";"Primary School Teacher";"B";"2";"";"";"Not in core set";125;1066;27;TRUE;"20-29"
"60";"S0060";NA;"Unknown";"30-39";"Male";"British";"Reading, Berkshire";"England";"English";"England";"Southern";"Cambridge";"England";"6 years";"uk";"england";"south";"unspecified";"Graduate";"Civil engineer";"C1";"4";"";"French -- Beginner; German -- Beginner";"Not in core set";707;15944;34;TRUE;"30-39"
"61";"S0061";NA;"Unknown";"19-29";"Male";"British";"";"England";"English";"England";"Northern";"Bolton, Lancashire";"England";"23 years";"uk";"england";"north";"unspecified";"Unknown";"Sales assistant";"D";"6";"Urdu";"";"Not in core set";188;982;25;TRUE;"20-29"
"62";"S0062";NA;"Unknown";"30-39";"Male";"British";"Caerphilly";"Wales";"English";"Wales";"Welsh";"Painswich, Gloucestershire";"England";"3 years";"uk";"wales";"wales";"wales";"Graduate";"Customer Services";"C1";"3";"";"";"Not in core set";202;2588;34;TRUE;"30-39"
"63";"S0063";NA;"Unknown";"40-49";"Male";"British";"Brighton, East Sussex";"England";"English";"England";"Southern";"Darwen, Lancashire";"England";"7 years, 3 months";"uk";"england";"south";"unspecified";"Graduate";"Student advisor";"B";"2";"";"";"Not in core set";274;2682;44;TRUE;"40-49"
"64";"S0064";NA;"Unknown";"19-29";"Female";"British";"Manchester";"England";"English";"England";"North West";"Salford, Greater Manchester";"England";"29 years";"uk";"england";"north";"northwest";"Graduate";"IT Trainer";"B";"2";"";"German -- Advanced; French -- Advanced";"Not in core set";131;1387;25;TRUE;"20-29"
"65";"S0065";NA;"Unknown";"30-39";"Female";"British";"St Helens, Merseyside";"England";"English";"England";"Lancashire";"Burwell, Cambridgeshire";"England";"5 years";"uk";"england";"north";"northwest";"Postgrad";"MFL teacher (subject co-ordinator for German)";"C1";"3";"";"French -- Advanced; German -- Advanced";"Not in core set";94;2176;34;TRUE;"30-39"
"66";"S0066";NA;"Unknown";"40-49";"Male";"British";"Birmingham";"England";"English";"England";"Midlands";"Birmingham";"England";"48 years";"uk";"england";"midlands";"unspecified";"Sixth-form";"Small business owner";"C1";"4";"";"";"Not in core set";4;28;44;TRUE;"40-49"
"67";"S0067";NA;"Unknown";"40-49";"Male";"British";"Birmingham";"England";"English";"England";"Midlands";"Birmingham";"England";"46 years";"uk";"england";"midlands";"unspecified";"Sixth-form";"Small business owner";"C1";"4";"";"";"Not in core set";69;621;44;TRUE;"40-49"
"68";"S0068";NA;"Unknown";"40-49";"Male";"British";"Radcliffe, Lancashire";"England";"English";"England";"Northern";"Prestwich, Lancashire";"England";"21 years, 8 months";"uk";"england";"north";"unspecified";"Graduate";"Enquiry Services Specialist";"C1";"3";"";"French -- Intermediate";"Not in core set";303;2250;44;TRUE;"40-49"
"69";"S0069";NA;"Unknown";"19-29";"Female";"British";"";"Isle of Man";"English";"England";"Manx";"Cambridge";"England";"1 year";"uk";"england";"north";"northwest";"Graduate";"Publications Assistant";"B";"2";"";"";"Not in core set";95;574;25;TRUE;"20-29"
"70";"S0070";44;"35-44";"40-49";"Male";"British";"Bath, Somerset";"England";"English";"England";"Bit West country";"London";"England";"20";"uk";"england";"south";"southwest";"Postgrad";"PhD student";"A";"01:02";"";"Italian -- Beginner; Korean -- Beginner";"In core set";1,86;18168;44;TRUE;"40-49"
"71";"S0071";39;"35-44";"30-39";"Female";"British";"Grantown on Spey";"Scotland";"English";"England";"None indicated";"Aberystwyth";"Wales";"16 years";"unspecified";"unspecified";"unspecified";"unspecified";"Postgrad";"Civil servant";"C1";"3";"";"";"Not in core set";161;1301;39;TRUE;"30-39"
"72";"S0072";NA;"Unknown";"19-29";"Male";"British";"Oldham, Greater Manchester";"England";"English";"England";"North West";"Salford, Greater Manchester";"England";"7 months";"uk";"england";"north";"northwest";"Sixth-form";"Student";"E";"* (uncategorised)";"";"";"Not in core set";311;2618;25;TRUE;"20-29"
"73";"S0073";NA;"Unknown";"30-39";"Male";"British";"Solihull, West Midlands";"England";"English";"England";"Midlands";"Birmingham";"England";"22 years";"uk";"england";"midlands";"unspecified";"Postgrad";"Manager";"A";"01:02";"";"Urdu -- Advanced; French -- Beginner";"Not in core set";814;6934;34;TRUE;"30-39"
"74";"S0074";NA;"60+";"60-69";"Female";"British";"Insch";"Scotland";"English";"England";"Southern";"Hampton-in-Arden, West Midlands";"England";"15 years";"uk";"england";"south";"unspecified";"Secondary";"Part time court usher";"D";"6";"";"";"Not in core set";969;8582;64;TRUE;"60-69"
"75";"S0075";NA;"Unknown";"40-49";"Male";"British";"Manchester";"England";"English";"England";"Northern";"Middleton, Greater Manchester";"England";"7 years, 2 months";"uk";"england";"north";"unspecified";"Graduate";"Library Information Assistant";"B";"2";"";"";"Not in core set";330;2610;44;TRUE;"40-49"
"76";"S0076";NA;"Unknown";"19-29";"Female";"British";"Stockport, Greater Manchester";"England";"English";"England";"North West";"Stockport, Greater Manchester";"England";"24 years";"uk";"england";"north";"northwest";"Graduate";"IFY Programme Administrator";"A";"01:02";"";"French -- Advanced";"Not in core set";235;1353;25;TRUE;"20-29"
"77";"S0077";NA;"Unknown";"19-29";"Female";"British";"";"England";"English";"England";"Northern";"Salford, Greater Manchester";"England";"19 years";"uk";"england";"north";"unspecified";"Sixth-form";"Student";"E";"* (uncategorised)";"Gujarati";"";"Not in core set";113;867;25;TRUE;"20-29"
"78";"S0078";NA;"Unknown";"19-29";"Male";"British";"London";"England";"English";"England";"London";"Salford, Greater Manchester";"England";"6 months";"uk";"england";"south";"london";"Postgrad";"Student";"E";"* (uncategorised)";"";"";"Not in core set";39;3389;25;TRUE;"20-29"
"79";"S0079";35;"35-44";"30-39";"Male";"British";"Crawley, West Sussex";"England";"English";"England";"Southern";"Cambridge";"England";"13 years, 6 months";"uk";"england";"south";"unspecified";"Graduate";"Software engineer";"A";"01:02";"";"";"Not in core set";113;1215;35;TRUE;"30-39"
"80";"S0080";NA;"Unknown";"19-29";"Male";"British";"";"England";"English";"England";"Northern";"Salford, Greater Manchester";"England";"7 months";"uk";"england";"north";"unspecified";"Sixth-form";"Student";"E";"* (uncategorised)";"";"";"Not in core set";187;1079;25;TRUE;"20-29"
"81";"S0081";NA;"Unknown";"30-39";"Male";"British";"Manchester";"England";"English";"England";"North West";"Manchester";"England";"36 years, 4 months";"uk";"england";"north";"northwest";"Sixth-form";"Security Officer";"D";"6";"";"";"Not in core set";104;1740;34;TRUE;"30-39"
"82";"S0082";NA;"60+";"60-69";"Male";"British";"Mordern, London";"England";"English";"England";"Southern";"Cambridge";"England";"6 years, 2 months";"uk";"england";"south";"unspecified";"Secondary";"Retired";"E";"8";"";"";"Not in core set";2,006;22995;64;TRUE;"60-69"
"83";"S0083";NA;"60+";"60-69";"Female";"British";"Essex";"England";"English";"England";"London";"Cambridge";"England";"6 years, 2 months";"uk";"england";"south";"london";"Secondary";"n/a";"E";"* (uncategorised)";"";"";"Not in core set";4,719;44214;64;TRUE;"60-69"
"84";"S0084";NA;"Unknown";"19-29";"Female";"British";"Lewisham, London";"England";"English";"England";"Southern";"Cambridge";"England";"2 years, 9 months";"uk";"england";"south";"unspecified";"Postgrad";"Production Controller";"B";"2";"";"";"Not in core set";26,267;276558;25;TRUE;"20-29"
"85";"S0085";NA;"Unknown";"19-29";"Female";"British";"Cuckfield, West Sussex";"England";"English";"England";"Southern";"Cambridge";"England";"8 months";"uk";"england";"south";"unspecified";"Graduate";"Retail";"D";"6";"";"";"Not in core set";366;2835;25;TRUE;"20-29"
"86";"S0086";NA;"Unknown";"19-29";"Male";"British";"Cuckfield, West Sussex";"England";"English";"England";"Southern";"Cambridge";"England";"1 year, 9 months";"uk";"england";"south";"unspecified";"Secondary";"Retired";"E";"8";"";"";"Not in core set";3,442;49319;25;TRUE;"20-29"
"87";"S0087";40;"35-44";"40-49";"Male";"British";"Manchester";"England";"English";"England";"Manchester, England";"Aberystwyth";"Wales";"16 years";"uk";"england";"north";"northwest";"Postgrad";"Librarian/Novelist";"B";"2";"Welsh";"";"In core set";124;1393;40;TRUE;"40-49"
"88";"S0088";NA;"Unknown";"40-49";"Female";"British";"Aylesbury, Buckinghamshire";"England";"English";"England";"Southern";"Cambridge";"England";"20 years";"uk";"england";"south";"unspecified";"Graduate";"Cover supervisior";"C1";"3";"";"French -- Advanced; Spanish -- Beginner";"Not in core set";95;1738;44;TRUE;"40-49"
"89";"S0089";NA;"Unknown";"19-29";"Male";"British";"Hannover";"Germany";"English";"England";"North West";"Salford, Greater Manchester";"England";"6 months";"uk";"england";"north";"northwest";"Sixth-form";"Student";"E";"* (uncategorised)";"";"";"Not in core set";193;1653;25;TRUE;"20-29"
"90";"S0090";NA;"Unknown";"19-29";"Female";"British";"Manchester";"England";"English";"England";"North West";"Atherton, Somerset";"England";"7 years";"uk";"england";"north";"northwest";"Graduate";"Resident Life Support Officer";"D";"6";"";"";"Not in core set";105;1975;25;TRUE;"20-29"
"91";"S0091";90;"60+";"90-99";"Male";"British";"Timperley, Manchester";"England";"English";"England";"Lancashire";"Wincanton, Somerset";"England";"30 years";"uk";"england";"north";"northwest";"Graduate";"BT (retired)";"E";"8";"";"French -- Advanced; German -- Advanced";"Not in core set";363;2084;90;TRUE;"70+"
"92";"S0092";NA;"45-59";"50-59";"Male";"British";"Birmingham";"England";"English";"England";"Midlands";"Birmingham";"England";"50 years";"uk";"england";"midlands";"unspecified";"Postgrad";"Retired teacher";"E";"8";"";"Norwegian -- Intermediate; French -- Beginner";"Not in core set";423;11098;54;TRUE;"50-59"
"93";"S0093";NA;"Unknown";"40-49";"Male";"British";"Birmingham";"England";"English";"England";"Southern";"Birmingham";"England";"7 years";"uk";"england";"south";"unspecified";"Graduate";"Company director";"A";"01:01";"";"French -- Beginner";"Not in core set";836;14482;44;TRUE;"40-49"
"94";"S0094";33;"25-34";"30-39";"Female";"British";"Swindon";"England";"English";"England";"West Country";"Aberystwyth";"Wales";"13 years";"uk";"england";"south";"southwest";"Postgrad";"PhD student";"A";"01:02";"German";"Welsh -- Beginner";"In core set";1,706;10851;33;TRUE;"30-39"
"95";"S0095";33;"25-34";"30-39";"Male";"British";"Camarthen";"Scotland";"English";"England";"Slightly Welsh";"Aberystwyth";"Wales";"14.5 yeas";"uk";"wales";"wales";"wales";"Postgrad";"Self employed maker";"E";"* (uncategorised)";"";"";"In core set";755;4800;33;TRUE;"30-39"
