"";"ID";"Exact.age";"Age..BNC1994.groups.";"Age.range";"Gender";"Nationality";"Place.of.birth";"Country.of.birth";"First.language";"Linguistic.origin";"Accent.dialect.as.reported";"City.town.living";"Country.living";"Duration.living..years.";"Dialect.at.Level.1";"Dialect.at.Level.2";"Dialect.at.Level.3";"Dialect.at.Level.4";"Highest.qualification";"Occupation..title";"Class..Social.grade";"Class..NS.SEC";"L2..if.bilingual.";"Foreign.languages.spoken";"Part.of.core.set.of.speakers";"No..Utterance.units.linked.to.this.Speaker.ID";"total";"age_numeric";"include";"age_bins"
"300";"S0306";29;"25-34";"19-29";"Male";"British";"Isleworth";"England";"English";"England";"neutral";"";"England";"2";"unspecified";"unspecified";"unspecified";"unspecified";"Sixth-form";"web editor";"B";"2";"";"";"Not in core set";97;1044;29;TRUE;"20-29"
"301";"S0307";30;"25-34";"30-39";"Female";"Italian";"Loughborough";"England";"English";"England";"Midlands";"";"England";"20";"uk";"england";"midlands";"unspecified";"Postgrad";"English Language teacher";"C1";"3";"Italian";"Spanish -- level unspecified; Japanese -- level unspecified; Chinese -- beginner";"In core set";443;3459;30;TRUE;"30-39"
"302";"S0308";67;"60+";"60-69";"Male";"British";"Manchester";"England";"English";"England";"Lancashire";"Dursley";"England";"45 years";"uk";"england";"north";"northwest";"Postgrad";"Retired university lecturer";"E";"8";"";"French -- level unspecified";"Not in core set";790;6419;67;TRUE;"60-69"
"303";"S0309";76;"60+";"70-79";"Male";"British";"Birmingham";"England";"English";"England";"neutral";"Dursley";"England";"50";"unspecified";"unspecified";"unspecified";"unspecified";"Postgrad";"Retired dental surgeon";"E";"8";"";"";"Not in core set";778;8574;76;TRUE;"70+"
"304";"S0310";62;"60+";"60-69";"Female";"British";"Stockton-on-tees";"England";"English";"England";"NE";"Dursley";"England";"11 years";"uk";"england";"north";"northeast";"Postgrad";"Careers advisor";"B";"2";"";"";"Not in core set";247;5637;62;TRUE;"60-69"
"305";"S0311";30;"25-34";"30-39";"Female";"British";"Bristol";"England";"English";"England";"neutral";"Bristol";"England";"6 years";"unspecified";"unspecified";"unspecified";"unspecified";"Graduate";"Customer business manager";"B";"2";"";"Greek -- level unspecified; Mandarin -- level unspecified; Spanish -- level unspecified";"Not in core set";351;2371;30;TRUE;"30-39"
"306";"S0312";32;"25-34";"30-39";"Male";"British";"Coventry";"England";"English";"Scotland";"Fife";"Bristol";"England";"7 years";"uk";"scotland";"scotland";"scotland";"Postgrad";"Senior design engineer";"A";"01:02";"";"";"In core set";221;1379;32;TRUE;"30-39"
"307";"S0313";27;"25-34";"19-29";"Female";"British";"Bristol";"England";"English";"England";"English";"Surrey";"England";"2 years";"uk";"england";"unspecified";"unspecified";"Graduate";"National account manager";"A";"01:02";"";"Italian -- level unspecified; Spanish -- level unspecified; Greek -- level unspecified; French -- level unspecified";"In core set";395;3093;27;TRUE;"20-29"
"308";"S0314";61;"60+";"60-69";"Female";"British";"Sheffield, Yorkshire";"England";"English";"England";"Yorkshire";"Dursley";"England";"30 years";"uk";"england";"north";"yorkshire";"Graduate";"Lecturer";"A";"01:02";"";"";"Not in core set";567;7475;61;TRUE;"60-69"
"309";"S0315";36;"35-44";"30-39";"Female";"British";"Newmarket";"England";"English";"England";"neutral";"Peterborough";"England";"27";"unspecified";"unspecified";"unspecified";"unspecified";"Secondary";"Beauty therapist";"D";"6";"";"";"In core set";2,051;15766;36;TRUE;"30-39"
"310";"S0316";30;"25-34";"30-39";"Female";"British";"Nottingham";"England";"English";"England";"neutral";"Peterborough";"England";"10";"unspecified";"unspecified";"unspecified";"unspecified";"Graduate";"Marketing manager";"A";"01:02";"";"";"Not in core set";1,615;13776;30;TRUE;"30-39"
"311";"S0317";48;"45-59";"40-49";"Female";"British";"Peterborough";"England";"English";"England";"East Anglia";"Peterborough";"England";"48";"uk";"england";"south";"eastern_engl";"Secondary";"Incomes team leader";"C1";"3";"";"";"Not in core set";615;4128;48;TRUE;"40-49"
"312";"S0318";48;"45-59";"40-49";"Male";"British";"London";"England";"English";"England";"South East (London)";"Peterborough";"England";"32";"uk";"england";"south";"london";"Sixth-form";"Senior manager";"A";"01:02";"";"";"In core set";568;7704;48;TRUE;"40-49"
"313";"S0319";43;"35-44";"40-49";"Female";"British";"Wisbech";"England";"English";"England";"East Anglia";"Peterborough";"England";"40";"uk";"england";"south";"eastern_engl";"Graduate";"retired";"E";"8";"";"";"Not in core set";1,072;11859;43;TRUE;"40-49"
"314";"S0320";34;"25-34";"30-39";"Female";"British";"Torquay";"England";"English";"England";"South";"Totnes";"England";"6";"uk";"england";"south";"unspecified";"Sixth-form";"TEFL teacher";"C1";"3";"";"Spanish -- advanced; French -- intermediate; German -- beginner";"In core set";4,155;37234;34;TRUE;"30-39"
"315";"S0321";33;"25-34";"30-39";"Female";"British";"London";"England";"English";"England";"South";"London";"England";"15";"uk";"england";"south";"unspecified";"Postgrad";"Programme manager for a charity";"A";"01:02";"";"German -- intermediate";"In core set";561;4643;33;TRUE;"30-39"
"316";"S0322";39;"35-44";"30-39";"Female";"British";"Brixham, Devon";"England";"English";"England";"Southern";"Torquay";"England";"8";"uk";"england";"south";"unspecified";"Graduate";"English teacher";"C1";"3";"";"";"In core set";1,835;14694;39;TRUE;"30-39"
"317";"S0323";39;"35-44";"30-39";"Female";"British";"Stoke on Trent";"England";"English";"England";"Southern";"Totnes";"England";"17";"uk";"england";"south";"unspecified";"Sixth-form";"Post office counter clerk";"C1";"3";"";"";"In core set";480;6240;39;TRUE;"30-39"
"318";"S0324";14;"0-14";"Nov 18";"Female";"British";"Cambridge";"England";"English";"England";"South East";"Cambridge";"England";"14";"uk";"england";"south";"southeast";"Secondary";"student";"E";"* (uncategorised)";"";"German -- level unspecified";"In core set";3,536;28467;14;TRUE;"10-19"
"319";"S0325";13;"0-14";"Nov 18";"Female";"British";"Cambridge";"England";"English";"England";"South";"Cambridge";"England";"9";"uk";"england";"south";"unspecified";"Secondary";"student";"E";"* (uncategorised)";"";"Japanese -- level unspecified";"In core set";3,545;45925;13;TRUE;"10-19"
"320";"S0326";20;"15-24";"19-29";"Male";"British";"London";"England";"English";"England";"London";"London";"England";"12";"uk";"england";"south";"london";"Graduate";"student";"E";"* (uncategorised)";"";"";"In core set";9,784;95797;20;TRUE;"20-29"
"321";"S0327";76;"60+";"70-79";"Female";"British";"Vienna";"Italy";"English";"Austria";"English";"London";"England";"74";"uk";"england";"unspecified";"unspecified";"Graduate";"Artist";"B";"2";"";"";"Not in core set";2,094;28127;76;TRUE;"70+"
"322";"S0328";29;"25-34";"19-29";"Female";"British";"London";"England";"English";"England, USA, Australia";"English";"London";"England";"20";"uk";"england";"unspecified";"unspecified";"Graduate";"Baker";"C2";"5";"";"";"In core set";8,266;77855;29;TRUE;"20-29"
"323";"S0329";50;"45-59";"50-59";"Female";"British";"London";"England";"English";"English";"RP";"London";"England";"50";"uk";"england";"unspecified";"unspecified";"Graduate";"Literary Editor";"B";"2";"French";"";"Not in core set";2,85;32818;50;TRUE;"50-59"
"324";"S0330";27;"25-34";"19-29";"Female";"British";"Birmingham";"England";"English";"England";"None indicated";"London";"England";"7";"unspecified";"unspecified";"unspecified";"unspecified";"Sixth-form";"Café owner";"C1";"4";"Spanish";"";"Not in core set";5,484;43009;27;TRUE;"20-29"
"325";"S0331";31;"25-34";"30-39";"Male";"Australian";"Australia";"Australia";"English";"Australia";"Australian";"London";"England";"7";"non_uk";"non_uk";"non_uk";"non_uk";"Secondary";"Barista";"D";"6";"";"";"In core set";5,429;36000;31;TRUE;"30-39"
"326";"S0334";40;"35-44";"40-49";"Female";"British";"England";"England";"English";"England";"None indicated";"Cambridge";"England";"3";"unspecified";"unspecified";"unspecified";"unspecified";"Graduate";"Social Worker";"B";"2";"Spanish";"";"Not in core set";989;6759;40;TRUE;"40-49"
"327";"S0335";38;"35-44";"30-39";"Female";"British";"London";"England";"English";"England";"Central (stamford/cambridge)";"Ely";"England";"0.75";"uk";"england";"unspecified";"unspecified";"Postgrad";"Senior lecturer: crime and investigative studies";"A";"01:02";"French";"Spanish -- level unspecified";"Not in core set";993;9651;38;TRUE;"30-39"
